Designations 
Event Co-ordinator
marketing director
PR consultant
Evet portfolio director
Marketing Manager
Event Manager
Marcom manager
Brand Marketing Manager
Group Marketing Manager
Digital Marketing Manager
Brand Director
Project Manager
Senior marketing manager
